Length: 51 | A cat's nose is as unique as a human's fingerprint.
Length: 56 | A cat will tremble or shiver when it is in extreme pain.
Length: 20 | Cats have 3 eyelids.
Length: 60 | In 1987 cats overtook dogs as the number one pet in America.
Length: 132 | The Egyptian Mau is probably the oldest breed of cat. In fact, the breed is so ancient that its name is the Egyptian word for “cat.”
Length: 108 | In Siam, the cat was so revered that one rode in a chariot at the head of a parade celebrating the new king.
Length: 51 | A cat's nose is as unique as a human's fingerprint.
Length: 76 | A tomcat (male cat) can begin mating when he is between 7 and 10 months old.
Length: 94 | The strongest climber among the big cats, a leopard can carry prey twice its weight up a tree.
Length: 96 | Cats, especially older cats, do get cancer. Many times this disease can be treated successfully.
Length: 192 | The average lifespan of an outdoor-only (feral and non-feral) is about 3 years; an indoor-only cat can live 16 years and longer. Some cats have been documented to have a longevity of 34 years.
Length: 62 | The Maine Coone is the only native American long haired breed.
Length: 64 | Cats spend nearly 1/3 of their waking hours cleaning themselves.
Length: 149 | It has been scientifically proven that owning cats is good for our health and can decrease the occurrence of high blood pressure and other illnesses.
Length: 86 | Cats can judge within 3 inches the precise location of a sound being made 1 yard away.
Length: 58 | A cat can spend five or more hours a day grooming himself.
Length: 137 | When your cats rubs up against you, she is actually marking you as 'hers' with her scent. If your cat pushes his face against your head, it is a sign of acceptance and affection.
Length: 57 | Ailurophile is the word cat lovers are officially called.
Length: 41 | Cats have the largest eyes of any mammal.
Length: 41 | Cats have the largest eyes of any mammal.
Length: 135 | The heaviest cat on record is Himmy, a Tabby from Queensland, Australia. He weighed nearly 47 pounds (21 kg). He died at the age of 10.
Length: 117 | In Ancient Egypt, when a person's house cat passed away, the owner would shave their eyebrows to reflect their grief.
Length: 102 | Unlike humans, cats cannot detect sweetness which likely explains why they are not drawn to it at all.
Length: 167 | Cats sleep 16 to 18 hours per day. When cats are asleep, they are still alert to incoming stimuli. If you poke the tail of a sleeping cat, it will respond accordingly.
Length: 116 | A cat almost never meows at another cat, mostly just humans. Cats typically will spit, purr, and hiss at other cats.
Length: 51 | A cat's nose is as unique as a human's fingerprint.
Length: 60 | While many cats enjoy milk, it will give some cats diarrhea.
Length: 98 | Statistics indicate that animal lovers in recent years have shown a preference for cats over dogs!
Length: 94 | The strongest climber among the big cats, a leopard can carry prey twice its weight up a tree.
Length: 133 | Cats are subject to gum disease and to dental caries. They should have their teeth cleaned by the vet or the cat dentist once a year.
